#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
ANZ.AX,01-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,02-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,03-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,04-JAN-2000,,End Of Day,,10.88,11.05,10.68,10.68,3162969,,,Verified
ANZ.AX,05-JAN-2000,,End Of Day,,10.45,10.48,10.25,10.39,5932660,,,Verified
ANZ.AX,06-JAN-2000,,End Of Day,,10.45,10.45,10.08,10.131,6385760,,,Verified
ANZ.AX,07-JAN-2000,,End Of Day,,10.2,10.4,10.16,10.27,3324701,,,Verified
ANZ.AX,08-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,09-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,10-JAN-2000,,End Of Day,,10.4,10.47,10.34,10.388,4625364,,,Verified
ANZ.AX,11-JAN-2000,,End Of Day,,10.43,10.43,10.1,10.1,7844502,,,Verified
ANZ.AX,12-JAN-2000,,End Of Day,,10.13,10.46,10.12,10.45,3803121,,,Verified
ANZ.AX,13-JAN-2000,,End Of Day,,10.46,10.65,10.46,10.51,2971485,,,Verified
ANZ.AX,14-JAN-2000,,End Of Day,,10.6,10.72,10.6,10.67,2770055,,,Verified
ANZ.AX,15-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,16-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,17-JAN-2000,,End Of Day,,10.732,10.92,10.7,10.903,3451853,,,Verified
ANZ.AX,18-JAN-2000,,End Of Day,,10.92,11.15,10.83,11.08,3585969,,,Verified
ANZ.AX,19-JAN-2000,,End Of Day,,10.979,10.99,10.85,10.87,3423974,,,Verified
ANZ.AX,20-JAN-2000,,End Of Day,,10.877,10.96,10.7,10.92,5561961,,,Verified
ANZ.AX,21-JAN-2000,,End Of Day,,10.881,10.881,10.7,10.752,2252021,,,Verified
ANZ.AX,22-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,23-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,24-JAN-2000,,End Of Day,,10.757,10.85,10.72,10.73,1914970,,,Verified
ANZ.AX,25-JAN-2000,,End Of Day,,10.55,10.59,10.42,10.519,5035960,,,Verified
ANZ.AX,26-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,27-JAN-2000,,End Of Day,,10.525,10.61,10.47,10.51,3680517,,,Verified
ANZ.AX,28-JAN-2000,,End Of Day,,10.55,10.87,10.55,10.82,7182836,,,Verified
ANZ.AX,29-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,30-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,31-JAN-2000,,End Of Day,,10.673,10.7,10.49,10.55,3294459,,,Verified
ANZ.AX,01-FEB-2000,,End Of Day,,10.55,10.58,10.32,10.45,5040431,,,Verified
ANZ.AX,02-FEB-2000,,End Of Day,,10.39,10.68,10.38,10.4,4708762,,,Verified
ANZ.AX,03-FEB-2000,,End Of Day,,10.443,10.5,10.28,10.31,5068570,,,Verified
ANZ.AX,04-FEB-2000,,End Of Day,,10.35,10.49,10.35,10.4,3412303,,,Verified
ANZ.AX,05-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,06-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,07-FEB-2000,,End Of Day,,10.42,10.54,10.42,10.49,2226799,,,Verified
ANZ.AX,08-FEB-2000,,End Of Day,,10.49,10.65,10.49,10.58,1976797,,,Verified
ANZ.AX,09-FEB-2000,,End Of Day,,10.6,10.75,10.59,10.71,3480775,,,Verified
ANZ.AX,10-FEB-2000,,End Of Day,,10.647,10.69,10.55,10.69,6090223,,,Verified
ANZ.AX,11-FEB-2000,,End Of Day,,10.581,10.6,10.36,10.4,2811946,,,Verified
ANZ.AX,12-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,13-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,14-FEB-2000,,End Of Day,,10.3,10.34,10.22,10.3,5141006,,,Verified
ANZ.AX,15-FEB-2000,,End Of Day,,10.3,10.32,10.2,10.25,5957291,,,Verified
ANZ.AX,16-FEB-2000,,End Of Day,,10.3,10.36,10.22,10.3,6177320,,,Verified
ANZ.AX,17-FEB-2000,,End Of Day,,10.28,10.29,10.23,10.23,2626351,,,Verified
ANZ.AX,18-FEB-2000,,End Of Day,,10.2,10.25,10.08,10.11,3895900,,,Verified
ANZ.AX,19-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,20-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,21-FEB-2000,,End Of Day,,10.006,10.1,10.006,10.09,3275081,,,Verified
ANZ.AX,22-FEB-2000,,End Of Day,,10.08,10.09,9.89,9.96,10777647,,,Verified
ANZ.AX,23-FEB-2000,,End Of Day,,9.99,10,9.88,9.9,11112796,,,Verified
ANZ.AX,24-FEB-2000,,End Of Day,,9.99,9.99,9.73,9.77,6210955,,,Verified
ANZ.AX,25-FEB-2000,,End Of Day,,9.78,10.15,9.74,10.129,7816260,,,Verified
ANZ.AX,26-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,27-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,28-FEB-2000,,End Of Day,,10.072,10.1,9.88,9.89,4856493,,,Verified
ANZ.AX,29-FEB-2000,,End Of Day,,9.975,10.04,9.92,10.01,5877853,,,Verified
ANZ.AX,01-MAR-2000,,End Of Day,,10.085,10.3,10.07,10.281,8246493,,,Verified
ANZ.AX,02-MAR-2000,,End Of Day,,10.4,10.49,10.11,10.183,3415103,,,Verified
ANZ.AX,03-MAR-2000,,End Of Day,,10.207,10.25,10.05,10.24,3424452,,,Verified
ANZ.AX,04-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,05-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,06-MAR-2000,,End Of Day,,10.3,10.33,10.11,10.18,2198451,,,Verified
ANZ.AX,07-MAR-2000,,End Of Day,,10.05,10.25,9.99,10.18,4313499,,,Verified
ANZ.AX,08-MAR-2000,,End Of Day,,10.15,10.36,10.11,10.27,2578372,,,Verified
ANZ.AX,09-MAR-2000,,End Of Day,,10.3,10.5,10.23,10.445,3452471,,,Verified
ANZ.AX,10-MAR-2000,,End Of Day,,10.45,10.67,10.32,10.354,3178889,,,Verified
ANZ.AX,11-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,12-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,13-MAR-2000,,End Of Day,,10.292,10.48,10.28,10.357,2668735,,,Verified
ANZ.AX,14-MAR-2000,,End Of Day,,10.3,10.48,10.3,10.48,3538256,,,Verified
ANZ.AX,15-MAR-2000,,End Of Day,,10.473,10.73,10.4,10.71,4597202,,,Verified
ANZ.AX,16-MAR-2000,,End Of Day,,10.83,11.05,10.806,10.806,3480428,,,Verified
ANZ.AX,17-MAR-2000,,End Of Day,,11,11.11,10.74,10.74,3561777,,,Verified
ANZ.AX,18-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,19-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,20-MAR-2000,,End Of Day,,10.8,10.88,10.6,10.674,1565192,,,Verified
ANZ.AX,21-MAR-2000,,End Of Day,,10.65,10.71,10.5,10.65,1336063,,,Verified
ANZ.AX,22-MAR-2000,,End Of Day,,10.8,10.97,10.72,10.8,2388886,,,Verified
ANZ.AX,23-MAR-2000,,End Of Day,,10.85,10.89,10.7,10.78,2516819,,,Verified
ANZ.AX,24-MAR-2000,,End Of Day,,10.8,10.85,10.73,10.79,1819570,,,Verified
ANZ.AX,25-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,26-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
ANZ.AX,27-MAR-2000,,End Of Day,,10.706,10.91,10.706,10.82,2797157,,,Verified
ANZ.AX,28-MAR-2000,,End Of Day,,10.81,10.96,10.76,10.83,2794759,,,Verified
ANZ.AX,29-MAR-2000,,End Of Day,,10.82,10.83,10.52,10.705,2454661,,,Verified
ANZ.AX,30-MAR-2000,,End Of Day,,10.7,10.7,10.52,10.584,2731668,,,Verified
ANZ.AX,31-MAR-2000,,End Of Day,,10.477,10.58,10.4,10.4,6264194,,,Verified
