#RIC,Date[L],Price,Volume,Value,Signal
ANZ.AX,07-01-2000,10.27,100.0,1027.0,S
ANZ.AX,10-01-2000,10.388,100.0,1038.8,B
ANZ.AX,13-01-2000,10.51,100.0,1051.0,S
ANZ.AX,14-01-2000,10.67,100.0,1067.0,B
ANZ.AX,19-01-2000,10.87,100.0,1087.0,S
ANZ.AX,24-01-2000,10.73,100.0,1073.0,B
ANZ.AX,25-01-2000,10.519,100.0,1051.9,S
ANZ.AX,27-01-2000,10.51,100.0,1051.0,B
ANZ.AX,28-01-2000,10.82,100.0,1082.0,S
ANZ.AX,31-01-2000,10.55,100.0,1055.0,B
ANZ.AX,01-02-2000,10.45,100.0,1045.0,S
ANZ.AX,04-02-2000,10.4,100.0,1040.0,B
ANZ.AX,10-02-2000,10.69,100.0,1069.0,S
ANZ.AX,14-02-2000,10.3,100.0,1030.0,B
ANZ.AX,17-02-2000,10.23,100.0,1023.0,S
ANZ.AX,21-02-2000,10.09,100.0,1009.0,B
ANZ.AX,24-02-2000,9.77,100.0,977.0,S
ANZ.AX,25-02-2000,10.129,100.0,1012.9,B
ANZ.AX,02-03-2000,10.183,100.0,1018.3,S
ANZ.AX,06-03-2000,10.18,100.0,1018.0,B
ANZ.AX,09-03-2000,10.445,100.0,1044.5,S
ANZ.AX,13-03-2000,10.357,100.0,1035.7,B
ANZ.AX,16-03-2000,10.806,100.0,1080.6,S
ANZ.AX,20-03-2000,10.674,100.0,1067.4,B
ANZ.AX,21-03-2000,10.65,100.0,1065.0,S
ANZ.AX,22-03-2000,10.8,100.0,1080.0,B
ANZ.AX,23-03-2000,10.78,100.0,1078.0,S
ANZ.AX,27-03-2000,10.82,100.0,1082.0,B
ANZ.AX,29-03-2000,10.705,100.0,1070.5,S
ANZ.AX,03-04-2000,10.49,100.0,1049.0,B
ANZ.AX,06-04-2000,10.95,100.0,1095.0,S
ANZ.AX,10-04-2000,11.05,100.0,1105.0,B
ANZ.AX,13-04-2000,11.45,100.0,1145.0,S
ANZ.AX,14-04-2000,11.597,100.0,1159.7,B
ANZ.AX,20-04-2000,11.8,100.0,1180.0,S
ANZ.AX,26-04-2000,12.02,100.0,1202.0,B
ANZ.AX,27-04-2000,11.979,100.0,1197.9,S
ANZ.AX,02-05-2000,11.58,100.0,1158.0,B
ANZ.AX,04-05-2000,11.36,100.0,1136.0,S
ANZ.AX,05-05-2000,11.641,100.0,1164.1,B
ANZ.AX,10-05-2000,11.78,100.0,1178.0,S
ANZ.AX,15-05-2000,11.7,100.0,1170.0,B
ANZ.AX,18-05-2000,11.85,100.0,1185.0,S
ANZ.AX,22-05-2000,11.55,100.0,1155.0,B
ANZ.AX,25-05-2000,11.57,100.0,1157.0,S
ANZ.AX,29-05-2000,11.82,100.0,1182.0,B
ANZ.AX,01-06-2000,12.12,100.0,1212.0,S
ANZ.AX,05-06-2000,12.32,100.0,1232.0,B
ANZ.AX,06-06-2000,12.11,100.0,1211.0,S
ANZ.AX,09-06-2000,12.23,100.0,1223.0,B
ANZ.AX,16-06-2000,12.32,100.0,1232.0,S
ANZ.AX,19-06-2000,12.21,100.0,1221.0,B
ANZ.AX,22-06-2000,12.24,100.0,1224.0,S
ANZ.AX,26-06-2000,12.2,100.0,1220.0,B
ANZ.AX,29-06-2000,12.74,100.0,1274.0,S
